GivenName,SurName,UserPrincipalName,DisplayName,Department,Password
Jan Egil,Sælen,jan.e.selen@casca.com,Jan Egil Sælen,finance,esU,PgL~AS{lY5V
Svein,Eriksen,svein.eriksen@casca.com,Svein Eriksen,hr,~zzqxm{~v7Nu+S#
Erik,Pedersen,erik.pedersen@casca.com,Erik Pedersen,consultants,'skdy@;_kX-f)
Karen,Berntsen,karen.berntsen@casca.com,Karen Berntsen,marketing,TpSK1';40=;`u^W
Margrethe,Bjørndalen,margrethe.bjorndalen@casca.com,Margrethe Bjørndalen,finance,v_wiGPzBGGXg(|/
Jan Egil,Sælen,jan.e.selen@casca.com,Jan Egil Sælen,finance,PtQj0:1&<A9=S:P
Svein,Eriksen,svein.eriksen@casca.com,Svein Eriksen,hr,b=5]cX8!mk|7Kn
Erik,Pedersen,erik.pedersen@casca.com,Erik Pedersen,consultants,,Ts6PoR=+[bypur
Karen,Berntsen,karen.berntsen@casca.com,Karen Berntsen,marketing,iM;~on:HK=^88s
Margrethe,Bjørndalen,margrethe.bjorndalen@casca.com,Margrethe Bjørndalen,finance,QALf.@xu:QGW3Q;
